name;ts;value
grapefruit_sprudel;1562260080.0;3.0
grapefruit_sprudel;1562270880.0;3.0
grapefruit_sprudel;1562281680.0;3.0
grapefruit_sprudel;1562292480.0;3.0
grapefruit_sprudel;1562303280.0;3.0
grapefruit_sprudel;1562314080.0;3.0
grapefruit_sprudel;1562324880.0;3.0
grapefruit_sprudel;1562335680.0;3.0
grapefruit_sprudel;1562346480.0;3.0
grapefruit_sprudel;1562357280.0;3.0
grapefruit_sprudel;1562368080.0;3.0
grapefruit_sprudel;1562378880.0;3.0
grapefruit_sprudel;1562389680.0;3.0
grapefruit_sprudel;1562400480.0;3.0
grapefruit_sprudel;1562411280.0;3.0
grapefruit_sprudel;1562422080.0;3.0
grapefruit_sprudel;1562432880.0;3.0
grapefruit_sprudel;1562443680.0;3.0
grapefruit_sprudel;1562454480.0;3.0
grapefruit_sprudel;1562465280.0;3.0
grapefruit_sprudel;1562476080.0;3.0
grapefruit_sprudel;1562486880.0;3.0
grapefruit_sprudel;1562497680.0;3.0
grapefruit_sprudel;1562508480.0;3.0
grapefruit_sprudel;1562519280.0;3.0
grapefruit_sprudel;1562530080.0;3.0
grapefruit_sprudel;1562540880.0;3.0
grapefruit_sprudel;1562551680.0;3.0
grapefruit_sprudel;1562562480.0;3.0
grapefruit_sprudel;1562573280.0;3.0
grapefruit_sprudel;1562584080.0;3.0
grapefruit_sprudel;1562594880.0;3.0
grapefruit_sprudel;1562605680.0;3.0
grapefruit_sprudel;1562616480.0;3.0
grapefruit_sprudel;1562627280.0;3.0
grapefruit_sprudel;1562638080.0;3.0
grapefruit_sprudel;1562648880.0;3.0
grapefruit_sprudel;1562659680.0;3.0
grapefruit_sprudel;1562670480.0;3.0
grapefruit_sprudel;1562681280.0;3.0
grapefruit_sprudel;1562692080.0;3.0
grapefruit_sprudel;1562702880.0;3.0
grapefruit_sprudel;1562713680.0;3.0
grapefruit_sprudel;1562724480.0;3.0
grapefruit_sprudel;1562735280.0;-1.0
grapefruit_sprudel;1562746080.0;-1.0
grapefruit_sprudel;1562756880.0;3.0
grapefruit_sprudel;1562767680.0;3.0
grapefruit_sprudel;1562778480.0;3.0
grapefruit_sprudel;1562789280.0;3.0
grapefruit_sprudel;1562800080.0;3.0
grapefruit_sprudel;1562810880.0;3.0
grapefruit_sprudel;1562821680.0;3.0
grapefruit_sprudel;1562832480.0;3.0
grapefruit_sprudel;1562843280.0;3.0
grapefruit_sprudel;1562854080.0;3.0
grapefruit_sprudel;1562864880.0;3.0
grapefruit_sprudel;1562875680.0;3.0
grapefruit_sprudel;1562886480.0;3.0
grapefruit_sprudel;1562897280.0;3.0
grapefruit_sprudel;1562908080.0;4.0
grapefruit_sprudel;1562918880.0;4.0
grapefruit_sprudel;1562929680.0;4.0
grapefruit_sprudel;1562940480.0;4.0
grapefruit_sprudel;1562951280.0;4.0
grapefruit_sprudel;1562962080.0;3.0
grapefruit_sprudel;1562972880.0;3.0
grapefruit_sprudel;1562983680.0;3.0
grapefruit_sprudel;1562994480.0;3.0
grapefruit_sprudel;1563005280.0;3.0
grapefruit_sprudel;1563016080.0;3.0
grapefruit_sprudel;1563026880.0;3.0
grapefruit_sprudel;1563037680.0;3.0
